anio;mes;mes-año;provincia;rubro_A12;operaciones
2019;1;ene-19;CIUDAD AUTONOMA DE BUENOS AIRES;Turismo; 2.120 
2019;1;ene-19;CORDOBA;Anteojos; 3.412 
2019;1;ene-19;CORDOBA;Artículos de Librería; 381 
2019;1;ene-19;CORDOBA;Balnearios; 106 
2019;1;ene-19;CORDOBA;Bicicletas; 542 
2019;1;ene-19;CORDOBA;Calzado y Marroquinería; 27.069 
2019;1;ene-19;CORDOBA;Colchones; 1.229 
2019;1;ene-19;CORDOBA;Electrodomésticos; 10.495 
2019;1;ene-19;CORDOBA;Indumentaria; 98.061 
2019;1;ene-19;CORDOBA;Instrumentos musicales; 196 
2019;1;ene-19;CORDOBA;Juguetes y Juegos de mesa; 5.485 
2019;1;ene-19;CORDOBA;Libros; 436 
2019;1;ene-19;CORDOBA;Materiales para la construcción; 10.498 
2019;1;ene-19;CORDOBA;Motocicletas; 3 
2019;1;ene-19;CORDOBA;Motos y Bicicletas; 4.436 
2019;1;ene-19;CORDOBA;Muebles; 3.322 
2019;1;ene-19;CORDOBA;Sin clasificar; 1 
2019;1;ene-19;CORDOBA;Teléfonos Celulares 4G; 3.996 
2019;1;ene-19;CORDOBA;Turismo; 708 
2019;1;ene-19;CORRIENTES;Anteojos; 699 
2019;1;ene-19;CORRIENTES;Artículos de Librería; 32 
2019;1;ene-19;CORRIENTES;Balnearios; 3 
2019;1;ene-19;CORRIENTES;Bicicletas; 20 
2019;1;ene-19;CORRIENTES;Calzado y Marroquinería; 2.272 
2019;1;ene-19;CORRIENTES;Colchones; 40 
2019;1;ene-19;CORRIENTES;Electrodomésticos; 1.599 
2019;1;ene-19;CORRIENTES;Indumentaria; 15.775 
2019;1;ene-19;CORRIENTES;Instrumentos musicales; 22 
2019;1;ene-19;CORRIENTES;Juguetes y Juegos de mesa; 133 
2019;1;ene-19;CORRIENTES;Libros; 40 
2019;1;ene-19;CORRIENTES;Materiales para la construcción; 835 
2019;1;ene-19;CORRIENTES;Motos y Bicicletas; 342 
2019;1;ene-19;CORRIENTES;Muebles; 392 
2019;1;ene-19;CORRIENTES;Teléfonos Celulares 4G; 266 
2019;1;ene-19;CORRIENTES;Turismo; 240 
2019;1;ene-19;ENTRE RIOS;Anteojos; 521 
2019;1;ene-19;ENTRE RIOS;Artículos de Librería; 91 
2019;1;ene-19;ENTRE RIOS;Balnearios; 57 
2019;1;ene-19;ENTRE RIOS;Bicicletas; 75 
2019;1;ene-19;ENTRE RIOS;Calzado y Marroquinería; 5.361 
2019;1;ene-19;ENTRE RIOS;Colchones; 101 
2019;1;ene-19;ENTRE RIOS;Electrodomésticos; 3.710 
2019;1;ene-19;ENTRE RIOS;Indumentaria; 13.121 
2019;1;ene-19;ENTRE RIOS;Instrumentos musicales; 37 
2019;1;ene-19;ENTRE RIOS;Juguetes y Juegos de mesa; 896 
2019;1;ene-19;ENTRE RIOS;Libros; 20 
2019;1;ene-19;ENTRE RIOS;Materiales para la construcción; 2.845 
2019;1;ene-19;ENTRE RIOS;Motocicletas; 1 
2019;1;ene-19;ENTRE RIOS;Motos y Bicicletas; 987 
2019;1;ene-19;ENTRE RIOS;Muebles; 1.200 
2019;1;ene-19;ENTRE RIOS;Teléfonos Celulares 4G; 273 
2019;1;ene-19;ENTRE RIOS;Turismo; 1.040 
2019;1;ene-19;FORMOSA;Anteojos; 16 
2019;1;ene-19;FORMOSA;Artículos de Librería; 1 
2019;1;ene-19;FORMOSA;Bicicletas; 23 
2019;1;ene-19;FORMOSA;Calzado y Marroquinería; 606 
2019;1;ene-19;FORMOSA;Colchones; 5 
2019;1;ene-19;FORMOSA;Electrodomésticos; 794 
2019;1;ene-19;FORMOSA;Indumentaria; 2.592 
2019;1;ene-19;FORMOSA;Juguetes y Juegos de mesa; 276 
2019;1;ene-19;FORMOSA;Materiales para la construcción; 378 
2019;1;ene-19;FORMOSA;Motos y Bicicletas; 213 
2019;1;ene-19;FORMOSA;Muebles; 204 
2019;1;ene-19;FORMOSA;Teléfonos Celulares 4G; 13 
2019;1;ene-19;FORMOSA;Turismo; 12 
2019;1;ene-19;JUJUY;Anteojos; 351 
2019;1;ene-19;JUJUY;Artículos de Librería; 1 
2019;1;ene-19;JUJUY;Balnearios; 40 
2019;1;ene-19;JUJUY;Bicicletas; 48 
2019;1;ene-19;JUJUY;Calzado y Marroquinería; 4.332 
2019;1;ene-19;JUJUY;Colchones; 5 
2019;1;ene-19;JUJUY;Electrodomésticos; 828 
2019;1;ene-19;JUJUY;Indumentaria; 7.768 
2019;1;ene-19;JUJUY;Instrumentos musicales; 31 
2019;1;ene-19;JUJUY;Juguetes y Juegos de mesa; 478 
2019;1;ene-19;JUJUY;Libros; 39 
2019;1;ene-19;JUJUY;Materiales para la construcción; 760 
2019;1;ene-19;JUJUY;Motos y Bicicletas; 304 
2019;1;ene-19;JUJUY;Muebles; 300 
2019;1;ene-19;JUJUY;Teléfonos Celulares 4G; 85 
2019;1;ene-19;JUJUY;Turismo; 238 
2019;1;ene-19;LA PAMPA;Anteojos; 68 
2019;1;ene-19;LA PAMPA;Artículos de Librería; 3 
2019;1;ene-19;LA PAMPA;Balnearios; 10 
2019;1;ene-19;LA PAMPA;Bicicletas; 9 
2019;1;ene-19;LA PAMPA;Calzado y Marroquinería; 1.734 
2019;1;ene-19;LA PAMPA;Colchones; 35 
2019;1;ene-19;LA PAMPA;Electrodomésticos; 1.233 
2019;1;ene-19;LA PAMPA;Indumentaria; 6.372 
2019;1;ene-19;LA PAMPA;Juguetes y Juegos de mesa; 121 
2019;1;ene-19;LA PAMPA;Materiales para la construcción; 1.016 
2019;1;ene-19;LA PAMPA;Motos y Bicicletas; 265 
2019;1;ene-19;LA PAMPA;Muebles; 384 
2019;1;ene-19;LA PAMPA;Teléfonos Celulares 4G; 52 
2019;1;ene-19;LA PAMPA;Turismo; 34 
2019;1;ene-19;LA RIOJA;Anteojos; 142 
2019;1;ene-19;LA RIOJA;Artículos de Librería; 1 
2019;1;ene-19;LA RIOJA;Bicicletas; 5 
2019;1;ene-19;LA RIOJA;Calzado y Marroquinería; 497 
2019;1;ene-19;LA RIOJA;Colchones; 23 
2019;1;ene-19;LA RIOJA;Electrodomésticos; 193 
2019;1;ene-19;LA RIOJA;Indumentaria; 1.881 
2019;1;ene-19;LA RIOJA;Juguetes y Juegos de mesa; 546 
2019;1;ene-19;LA RIOJA;Materiales para la construcción; 348 
2019;1;ene-19;LA RIOJA;Motos y Bicicletas; 122 
2019;1;ene-19;LA RIOJA;Muebles; 44 
2019;1;ene-19;LA RIOJA;Teléfonos Celulares 4G; 20 
2019;1;ene-19;LA RIOJA;Turismo; 151 
2019;1;ene-19;MENDOZA;Anteojos; 1.090 
2019;1;ene-19;MENDOZA;Artículos de Librería; 32 
2019;1;ene-19;MENDOZA;Balnearios; 18 
2019;1;ene-19;MENDOZA;Bicicletas; 411 
2019;1;ene-19;MENDOZA;Calzado y Marroquinería; 10.419 
2019;1;ene-19;MENDOZA;Colchones; 272 
2019;1;ene-19;MENDOZA;Electrodomésticos; 2.096 
2019;1;ene-19;MENDOZA;Indumentaria; 27.534 
2019;1;ene-19;MENDOZA;Instrumentos musicales; 54 
2019;1;ene-19;MENDOZA;Juguetes y Juegos de mesa; 798 
2019;1;ene-19;MENDOZA;Libros; 91 
2019;1;ene-19;MENDOZA;Materiales para la construcción; 2.422 
2019;1;ene-19;MENDOZA;Motocicletas; 4 
